rid,uid,rating
da-legna-new-haven,q5BNyaXJnyjWR5ynd6_Xpw,5.0
da-legna-new-haven,X87qt1b2_ipOIk7tR4pIPg,5.0
da-legna-new-haven,g0uPxun8Thf3Who5RWAxiQ,1.0
da-legna-new-haven,iW7usYhpjaQaDOdj2Hd4TA,3.0
da-legna-new-haven,XgHNktr1IhVTgI1kZ28-6A,4.0
da-legna-new-haven,kOXuqfd4QZ8GIUVUjquQnw,5.0
da-legna-new-haven,a_FOul8hcisFQ-ILbbM5Ew,5.0
da-legna-new-haven,uYs7avizAnQQrwsw4hre2w,4.0
da-legna-new-haven,4lmOAl3HEkLT5WQtvGc05g,4.0
da-legna-new-haven,ypOkmdi7ldmzh6lyplQTyA,5.0
da-legna-new-haven,vvfyqV5_vdXFrbY-Mt80aw,5.0
da-legna-new-haven,wGn3gBJnByA4BT2aIzl2wQ,5.0
da-legna-new-haven,YeXmtkUQxubqrPCSdhxTFQ,5.0
da-legna-new-haven,XzZ-Wsc6Z3lvHpPEghJKUg,5.0
da-legna-new-haven,_73qw3jzgEiHXYNxCqMS9A,4.0
da-legna-new-haven,G_ewrDXcU0hXovihr2G5og,4.0
da-legna-new-haven,J4SBSg28-8dC4Zl4fUviBw,5.0
